Timestamp,Age,Gender,Occupation,Monthly Income,Primary OTT Platform,Number of OTT Subscriptions,Subscription Tenure,Monthly OTT Spend,Share Account?,Hours Watched per Week,Preferred Genre,Primary Device,Usual Viewing Time,Pricing Satisfaction,Content Satisfaction,Content Variety,Recommendation Quality,Advertisement Tolerance,Streaming Experience,Switched Before,Competitor Awareness,Switch Intent,Main Reason For Switching,What Would Encourage Stay,Suggestions To Improve,Data_Source,Age_Numeric,Monthly Income_Numeric,Number of OTT Subscriptions_Numeric,Monthly OTT Spend_Numeric,Hours Watched per Week_Numeric,Subscription Tenure_Numeric
7/28/2026 12:53:21,18 to 24,Female,Student,No Income,Netflix,3,3 to 6 months,500 to 999,Yes,<5,Horror,Mobile,Evening,3,4,4,4,2,4,Yes,No,No,High subscription cost,"Lower price, Better content, Exclusive originals, Family plans, Fewer ads",Can have more offers and lessen the cost for monthly. ,Real,21,0,3,750,3.0,4.5
8/4/2026 20:53:02,35 to 44,Female,Homemaker,No Income,Disney+ Hotstar,3,3 to 6 months,500 to 999,Yes,5 to 10,Comedy,Smart TV,Evening,4,5,3,4,2,3,Yes,Yes,No,High subscription cost,"Lower price, Better content, Better streaming quality, Family plans, Fewer ads",-,Real,39,0,3,750,7.5,4.5
8/4/2026 22:25:44,18 to 24,Male,Student,"Below 25,000",Netflix,5+,>2 years,500 to 999,No,<5,Thriller,Laptop/Desktop,Night,4,4,3,5,2,4,No,No,No,High subscription cost,"Lower price, Better content, Exclusive originals, Better streaming quality, Fewer ads",,Real,21,15000,5,750,3.0,30.0
8/5/2026 13:58:17,45 to 54,Male,Working Professional,"Above 1,00,000",Netflix,2,6 to 12 months,200 to 499,Yes,5 to 10,Thriller,Smart TV,Evening,4,5,5,5,4,4,No,Yes,No,No plans to switch,"Lower price, Better content, Better recommendations, Better streaming quality",Always like latest movies ,Real,49,125000,2,350,7.5,9.0
8/6/2026 8:47:28,35 to 44,Female,Homemaker,"50,001 to 75,000",Amazon Prime Video,2,6 to 12 months,200 to 499,Yes,5 to 10,Comedy,Smart TV,Evening,4,4,4,4,4,4,Yes,Yes,Yes,No plans to switch,"Exclusive originals, Better streaming quality",Price ,Real,39,62500,2,350,7.5,9.0
8/31/2026 11:14:54,18 to 24,Male,Student,No Income,Netflix,2,>2 years,200 to 499,Yes,5 to 10,Drama,Laptop/Desktop,Evening,4,3,4,5,3,4,No,No,No,No plans to switch,"Lower price, Better content, Exclusive originals, Better streaming quality",,Real,21,0,2,350,7.5,30.0
8/31/2026 17:03:22,18 to 24,Male,Student,No Income,Netflix,5+,>2 years,1500+,No,5 to 10,Action,Laptop/Desktop,Night,4,5,5,5,5,5,No,No,No,No plans to switch,"Lower price, Better content, Exclusive originals, Better recommendations, Better streaming quality, Fewer ads",,Real,21,0,5,1750,7.5,30.0
8/31/2026 17:57:30,18 to 24,Male,Student,No Income,Netflix,1,<3 months,200 to 499,Yes,5 to 10,Horror,Laptop/Desktop,Night,1,4,5,3,1,3,Yes,No,No,Poor streaming experience,"Lower price, Better content, Family plans",,Real,21,0,1,350,7.5,2.0
8/31/2026 18:29:51,18 to 24,Female,Student,No Income,Netflix,5+,3 to 6 months,500 to 999,No,5 to 10,Comedy,Mobile,Night,3,4,3,4,3,4,Yes,No,No,Lack of content,"Lower price, Better content, Better recommendations, Better streaming quality, Fewer ads",,Real,21,0,5,750,7.5,4.5
8/31/2026 19:46:04,18 to 24,Female,Student,No Income,Amazon Prime Video,3,6 to 12 months,200 to 499,No,11 to 20,Romance,Mobile,Night,3,5,4,4,4,4,No,Yes,No,Lack of content,"Lower price, Better content, Better recommendations",Nothing ,Real,21,0,3,350,15.5,9.0
8/31/2026 22:38:30,18 to 24,Male,Student,No Income,Amazon Prime Video,2,6 to 12 months,200 to 499,Yes,11 to 20,Anime,Mobile,Night,5,5,5,5,5,4,Yes,Yes,No,Lack of content,"Lower price, Better content, Exclusive originals, Better recommendations, Better streaming quality, Family plans, Fewer ads",,Real,21,0,2,350,15.5,9.0
9/1/2026 9:31:26,18 to 24,Male,Working Professional,"25,000 to 50,000",Netflix,2,3 to 6 months,0 to 199,No,<5,Action,Mobile,Night,2,3,3,3,3,3,,,,,,,Real,21,37500,2,100,3.0,4.5
9/1/2026 10:16:35,18 to 24,Male,Student,No Income,Netflix,1,<3 months,0 to 199,No,5 to 10,Romance,Laptop/Desktop,Night,3,4,4,4,3,4,No,Yes,No,No plans to switch,"Lower price, Better content, Family plans",Lower the prices ,Real,21,0,1,100,7.5,2.0
09/02/2026 19:07:00,18 to 24,Female,Student,No Income,Amazon Prime Video,1,3 to 6 months,0 to 199,No,11 to 20,Romance,Mobile,Night,4,3,3,3,2,2,Yes,Yes,No,High subscription cost,"Better content, More content variety, Better recommendations, Better streaming quality, Fewer ads",Add more regional and multilingual content,Synthetic,21,0,1,100,15.5,4.5
09/03/2026 09:47:00,25 to 34,Male,Self-Employed,"25,000 to 50,000",JioCinema,3,6 to 12 months,0 to 199,No,5 to 10,Drama,Mobile,Evening,3,5,5,5,3,4,No,Yes,No,No plans to switch,"Lower price, Family plans, Fewer ads",Provide better recommendations and personalized content,Synthetic,29,37500,3,100,7.5,9.0
09/04/2026 13:15:00,18 to 24,Female,Student,No Income,SonyLIV,5+,6 to 12 months,1000 to 1499,Yes,5 to 10,Action,Mobile,Evening,3,3,5,4,1,4,No,Yes,No,No plans to switch,"Lower price, Better content, Exclusive originals, Family plans, Fewer ads",Improve streaming quality and reduce buffering,Synthetic,21,0,5,1250,7.5,9.0
09/05/2026 12:08:00,18 to 24,Female,Working Professional,"Above 1,00,000",Disney+ Hotstar,5+,1 to 2 years,200 to 499,Yes,5 to 10,Romance,Laptop/Desktop,Night,3,3,2,5,2,4,Yes,Yes,Yes,Lack of content,"Lower price, Better content, More content variety, Exclusive originals, Fewer ads",Reduce subscription prices and offer more plans,Synthetic,21,125000,5,350,7.5,18.0
09/06/2026 20:06:00,18 to 24,Male,Working Professional,"25,000 to 50,000",Disney+ Hotstar,2,<3 months,200 to 499,Yes,21 to 30,Horror,Laptop/Desktop,Night,4,5,4,3,4,4,No,Yes,No,No plans to switch,"Better recommendations, Exclusive originals",Offer student discounts and family plans,Synthetic,21,37500,2,350,25.5,2.0
