Record_ID,Age_Numeric,Gender,Occupation,Income_Numeric,Primary_OTT_Platform,Subscriptions_Numeric,Tenure_Months,Monthly_Spend_Numeric,Share_Account,Hours_Watched_Numeric,Preferred_Genre,Primary_Device,Usual_Viewing_Time,Pricing_Satisfaction,Content_Satisfaction,Content_Variety,Recommendation_Quality,Advertisement_Tolerance,Streaming_Experience,Switched_Before,Competitor_Awareness,Switch_Intent,Main_Reason_For_Switching,What_Would_Encourage_Stay,Suggestions_To_Improve,Data_Source,Cost_Fatigue_Score,Content_Fatigue_Score,Experience_Fatigue_Score,Overall_Fatigue_Score,Dominant_Fatigue_Type
1,21.0,Male,Student,12500,Netflix,5.0,30.0,750,No,7.5,Comedy,Smart TV,Night,3,5,4,5,3,3,Yes,No,Yes,Expensive subscription,Lower price,Lower subscription prices,Synthetic,54.86,29.0,46.0,43.29,Cost
2,21.0,Male,Student,0,Amazon Prime Video,5.0,9.0,100,Yes,7.5,Horror,Laptop/Desktop,Night,4,5,2,4,3,3,No,No,Yes,Buffering and playback issues,Better recommendations,Reduce buffering,Synthetic,29.71,47.0,53.0,43.24,Experience
3,39.5,Male,Student,0,Netflix,2.0,30.0,350,No,7.5,Action,Mobile,Evening,5,5,4,5,1,4,Yes,No,No,No plans to switch,"Better streaming quality, Fewer ads",Offer better family plans,Synthetic,20.0,29.0,45.0,31.33,Experience
4,21.0,Female,Student,0,Netflix,5.0,4.5,100,No,7.5,Comedy,Laptop/Desktop,Night,4,5,5,5,1,4,Yes,No,No,No plans to switch,Better streaming quality,Add more exclusive content,Synthetic,29.71,20.0,45.0,31.57,Experience
5,21.0,Female,Working Professional,0,Netflix,2.0,1.5,350,No,2.5,Action,Laptop/Desktop,Evening,4,5,5,5,3,3,No,Yes,No,No plans to switch,Better streaming quality,Improve recommendations,Synthetic,34.0,20.0,46.0,33.33,Experience
6,21.0,Female,Student,12500,Netflix,2.0,9.0,750,No,7.5,Romance,Laptop/Desktop,Evening,4,5,5,3,1,4,Yes,Yes,No,No plans to switch,Better recommendations,Offer better family plans,Synthetic,40.86,20.0,59.0,39.95,Experience
7,39.5,Male,Working Professional,0,Netflix,5.0,4.5,350,No,2.5,Thriller,Mobile,Night,4,4,5,5,3,4,No,Yes,Yes,Buffering and playback issues,"Better streaming quality, Fewer ads",Offer better family plans,Synthetic,34.0,31.0,37.0,34.0,Experience
8,21.0,Male,Homemaker,62500,Netflix,2.0,4.5,1750,No,2.5,Horror,Laptop/Desktop,Evening,1,5,3,3,4,4,Yes,Yes,No,No plans to switch,Lower price,Add more exclusive content,Synthetic,100.0,38.0,47.0,61.67,Cost
9,21.0,Male,Working Professional,0,Netflix,5.0,30.0,100,Yes,2.5,Comedy,Laptop/Desktop,Night,4,5,3,5,2,5,Yes,No,No,No plans to switch,"Better recommendations, Better content",Offer better family plans,Synthetic,29.71,38.0,32.0,33.24,Content
10,21.0,Male,Student,0,Netflix,1.0,4.5,100,No,7.5,Horror,Mobile,Evening,4,4,4,5,1,4,No,No,No,No plans to switch,Better recommendations,Offer better family plans,Synthetic,29.71,40.0,45.0,38.24,Experience
11,21.0,Male,Homemaker,0,Netflix,5.0,9.0,350,Yes,2.5,Comedy,Laptop/Desktop,Night,1,4,5,4,3,4,No,No,No,No plans to switch,Lower price,Add more exclusive content,Synthetic,76.0,31.0,44.0,50.33,Cost
12,21.0,Male,Student,0,Netflix,1.0,9.0,350,No,7.5,Action,Mobile,Night,3,4,5,4,5,4,No,No,No,No plans to switch,"Lower price, Family plans",Reduce advertisements,Synthetic,48.0,31.0,36.0,38.33,Cost
13,21.0,Male,Student,37500,Amazon Prime Video,1.0,9.0,350,Yes,15.0,Thriller,Mobile,Evening,1,5,3,3,2,5,Yes,No,No,No plans to switch,Lower price,Reduce buffering,Synthetic,76.0,38.0,46.0,53.33,Cost
14,21.0,Male,Homemaker,0,Netflix,5.0,9.0,100,Yes,15.0,Thriller,Mobile,Night,4,4,4,5,3,3,Yes,Yes,Yes,Poor recommendations,Better recommendations,Offer better family plans,Synthetic,29.71,40.0,46.0,38.57,Experience
15,21.0,Female,Student,0,Disney+ Hotstar,2.0,4.5,350,Yes,7.5,Action,Smart TV,Evening,4,4,3,4,3,4,No,No,No,No plans to switch,Better content,Reduce buffering,Synthetic,34.0,49.0,44.0,42.33,Content
16,21.0,Male,Student,0,Netflix,2.0,1.5,350,No,7.5,Thriller,Mobile,Night,4,5,3,5,4,4,No,No,No,No plans to switch,"Better recommendations, Better content",Add more exclusive content,Synthetic,34.0,38.0,33.0,35.0,Content
17,21.0,Male,Student,12500,Netflix,3.0,9.0,350,Yes,2.5,Romance,Mobile,Evening,4,4,2,3,4,5,Yes,No,No,No plans to switch,"Better recommendations, Better content",Reduce buffering,Synthetic,34.0,58.0,38.0,43.33,Content
18,21.0,Male,Student,62500,Netflix,1.0,9.0,350,No,7.5,Horror,Laptop/Desktop,Night,1,5,5,5,3,5,Yes,Yes,No,No plans to switch,"Lower price, Family plans",Reduce advertisements,Synthetic,76.0,20.0,28.0,41.33,Cost
19,21.0,Male,Student,0,Netflix,5.0,1.5,350,Yes,15.0,Anime,Mobile,Night,3,3,5,5,3,4,No,Yes,No,No plans to switch,"Lower price, Family plans",Improve content variety,Synthetic,48.0,42.0,37.0,42.33,Cost
20,49.5,Male,Student,0,Amazon Prime Video,3.0,1.5,350,Yes,15.0,Comedy,Laptop/Desktop,Night,2,5,5,4,5,3,Yes,No,Yes,High subscription cost,Lower price,Reduce buffering,Synthetic,62.0,20.0,45.0,42.33,Cost
21,21.0,Female,Student,0,Netflix,3.0,1.5,750,Yes,7.5,Drama,Laptop/Desktop,Night,2,4,3,4,5,2,No,No,No,No plans to switch,"Lower price, Better content",Improve recommendations,Synthetic,68.86,49.0,54.0,57.29,Cost
22,21.0,Male,Student,0,Netflix,1.0,30.0,350,Yes,7.5,Thriller,Laptop/Desktop,Evening,4,4,4,3,3,4,Yes,No,No,No plans to switch,"Better streaming quality, Fewer ads",Lower subscription prices,Synthetic,34.0,40.0,51.0,41.67,Experience
23,21.0,Female,Student,12500,Netflix,1.0,9.0,750,Yes,7.5,Horror,Laptop/Desktop,Night,5,3,5,5,4,4,Yes,Yes,No,No plans to switch,"Better content, Exclusive originals",Reduce buffering,Synthetic,26.86,42.0,33.0,33.95,Content
24,21.0,Male,Student,0,Netflix,1.0,30.0,350,No,7.5,Comedy,Mobile,Night,3,3,3,5,4,3,Yes,No,No,No plans to switch,"Better recommendations, Better content",Add more exclusive content,Synthetic,48.0,60.0,42.0,50.0,Content
25,39.5,Male,Student,0,Netflix,1.0,4.5,350,Yes,7.5,Drama,Mobile,Night,2,3,5,3,2,3,No,Yes,No,No plans to switch,"Better streaming quality, Fewer ads",Improve recommendations,Synthetic,62.0,42.0,64.0,56.0,Experience
26,39.5,Male,Student,0,Disney+ Hotstar,5.0,4.5,750,No,7.5,Action,Laptop/Desktop,Night,2,3,4,4,3,4,Yes,Yes,No,No plans to switch,Lower price,Improve content variety,Synthetic,68.86,51.0,44.0,54.62,Cost
27,21.0,Female,Working Professional,0,Amazon Prime Video,2.0,4.5,350,Yes,2.5,Comedy,Laptop/Desktop,Night,4,5,4,4,5,4,No,No,No,No plans to switch,Better streaming quality,Add more exclusive content,Synthetic,34.0,29.0,36.0,33.0,Experience
28,21.0,Female,Homemaker,0,Netflix,3.0,9.0,1750,Yes,7.5,Horror,Smart TV,Evening,3,4,4,4,1,3,Yes,No,No,No plans to switch,"Lower price, Better content",Improve recommendations,Synthetic,72.0,40.0,61.0,57.67,Cost
29,21.0,Female,Student,0,Netflix,5.0,4.5,350,Yes,15.0,Comedy,Laptop/Desktop,Night,3,5,4,5,2,4,Yes,No,Yes,Lower price,"Lower price, Family plans",Lower subscription prices,Synthetic,48.0,29.0,41.0,39.33,Cost
30,39.5,Male,Student,0,Netflix,2.0,4.5,750,Yes,7.5,Romance,Mobile,Evening,3,5,3,4,3,4,No,No,No,No plans to switch,"Lower price, Better content",Lower subscription prices,Synthetic,54.86,38.0,44.0,45.62,Cost
31,21.0,Male,Student,0,Netflix,2.0,30.0,750,Yes,7.5,Thriller,Mobile,Night,3,5,5,3,3,4,Yes,No,No,No plans to switch,"Lower price, Better content",Add more exclusive content,Synthetic,54.86,20.0,51.0,41.95,Cost
32,21.0,Female,Student,0,Netflix,2.0,30.0,350,No,7.5,Horror,Mobile,Night,4,5,4,4,4,4,Yes,Yes,No,No plans to switch,Better recommendations,Lower subscription prices,Synthetic,34.0,29.0,40.0,34.33,Experience
